"row","searchTerm","vidAcceptibility","vidQuality","videoUrl","videoDuration","vidCompare","blockAcceptibility","blockQuality","sessionAcceptibility","sessionQuality","ip","date"
"1","ads","","3","https://www.youtube.com/watch?v=mW6hFttt_KE","79","","","","","","","2017-11-08T07:26:54.395Z"
"2","later","1","4","https://www.youtube.com/watch?v=kK_r7yZ9rwM","75","2","","","","","","2017-11-08T07:28:16.761Z"
"3","","","","","","","","","","","","2017-11-05T20:40:38.071Z"
"4","nice","1","4","https://www.youtube.com/watch?v=Akwm2UZJ34o","63","1","","","1","5","","2017-11-08T07:00:53.235Z"
"1","","","","","","","","","","","","2017-11-08T06:51:53.184Z"
"2","","","","","","","","","","","","2017-11-08T06:54:21.384Z"
"3","","","","","","","","","","","","2017-11-08T06:55:36.865Z"
"4","","","","","","","","","","","","2017-11-08T06:58:18.924Z"
"1","","","","","","","","","","","","2017-11-08T07:15:41.161Z"
"2","","","","","","","","","","","","2017-11-08T07:18:10.300Z"
"3","","","","","","","","","","","","2017-11-08T07:19:25.087Z"
"1","","","","","","","","","","","","2017-11-08T07:24:57.491Z"
"2","","","","","","","","","","","","2017-11-08T07:26:54.403Z"
"3","","","","","","","","","","","","2017-11-08T07:28:16.771Z"
